fies_score,lat_dd_mod,lon_dd_mod,region,fies_average
3,10.049191,34.665996,Benshangul-Gumaz,2.4000001
2,10.049191,34.665996,Benshangul-Gumaz,2.4000001
0,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
1,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
3,10.049191,34.665996,Benshangul-Gumaz,2.4000001
3,11.294476,36.448728,Benshangul-Gumaz,2.4000001
2,9.796132,34.797897,Benshangul-Gumaz,2.4000001
3,11.294476,36.448728,Benshangul-Gumaz,2.4000001
2,11.397441,36.476428,Benshangul-Gumaz,2.4000001
3,9.986143,34.547639,Benshangul-Gumaz,2.4000001
7,10.223506,34.781987,Benshangul-Gumaz,2.4000001
0,9.986143,34.547639,Benshangul-Gumaz,2.4000001
2,10.049191,34.665996,Benshangul-Gumaz,2.4000001
4,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
3,10.223506,34.781987,Benshangul-Gumaz,2.4000001
5,10.422215,34.857636,Benshangul-Gumaz,2.4000001
5,10.223506,34.781987,Benshangul-Gumaz,2.4000001
5,10.223506,34.781987,Benshangul-Gumaz,2.4000001
1,10.049191,34.665996,Benshangul-Gumaz,2.4000001
1,11.294476,36.448728,Benshangul-Gumaz,2.4000001
3,9.986143,34.547639,Benshangul-Gumaz,2.4000001
3,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
0,11.397441,36.476428,Benshangul-Gumaz,2.4000001
0,10.067477,34.539163,Benshangul-Gumaz,2.4000001
4,10.223506,34.781987,Benshangul-Gumaz,2.4000001
3,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
0,11.397441,36.476428,Benshangul-Gumaz,2.4000001
4,10.422215,34.857636,Benshangul-Gumaz,2.4000001
0,11.397441,36.476428,Benshangul-Gumaz,2.4000001
0,10.365244,34.618369,Benshangul-Gumaz,2.4000001
0,10.422215,34.857636,Benshangul-Gumaz,2.4000001
2,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
0,10.422215,34.857636,Benshangul-Gumaz,2.4000001
1,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
6,11.294476,36.448728,Benshangul-Gumaz,2.4000001
3,9.986143,34.547639,Benshangul-Gumaz,2.4000001
2,11.294476,36.448728,Benshangul-Gumaz,2.4000001
0,10.365244,34.618369,Benshangul-Gumaz,2.4000001
6,10.223506,34.781987,Benshangul-Gumaz,2.4000001
0,10.365244,34.618369,Benshangul-Gumaz,2.4000001
3,10.422215,34.857636,Benshangul-Gumaz,2.4000001
2,9.998628999999999,34.6076,Benshangul-Gumaz,2.4000001
3,10.422215,34.857636,Benshangul-Gumaz,2.4000001
2,9.796132,34.797897,Benshangul-Gumaz,2.4000001
0,10.365244,34.618369,Benshangul-Gumaz,2.4000001
0,10.365244,34.618369,Benshangul-Gumaz,2.4000001
2,11.397441,36.476428,Benshangul-Gumaz,2.4000001
0,11.397441,36.476428,Benshangul-Gumaz,2.4000001
3,9.882236000000001,34.719258,Benshangul-Gumaz,2.4000001
3,9.796132,34.797897,Benshangul-Gumaz,2.4000001
2,9.986143,34.547639,Benshangul-Gumaz,2.4000001
1,9.796132,34.797897,Benshangul-Gumaz,2.4000001
4,10.422215,34.857636,Benshangul-Gumaz,2.4000001
0,10.365244,34.618369,Benshangul-Gumaz,2.4000001
0,9.986143,34.547639,Benshangul-Gumaz,2.4000001
7,9.796132,34.797897,Benshangul-Gumaz,2.4000001
7,11.294476,36.448728,Benshangul-Gumaz,2.4000001
4,9.986143,34.547639,Benshangul-Gumaz,2.4000001
0,10.365244,34.618369,Benshangul-Gumaz,2.4000001
5,11.294476,36.448728,Benshangul-Gumaz,2.4000001
0,9.560840000000001,42.084039,Dire Dawa,2.6715329
2,9.508095000000001,41.76715,Dire Dawa,2.6715329
3,9.596399,41.885931,Dire Dawa,2.6715329
0,9.602402,41.866591,Dire Dawa,2.6715329
7,9.504422999999999,41.6638,Dire Dawa,2.6715329
5,9.504422999999999,41.6638,Dire Dawa,2.6715329
6,9.523417999999999,41.904651,Dire Dawa,2.6715329
0,9.645111999999999,41.834549,Dire Dawa,2.6715329
3,9.616778999999999,42.139428,Dire Dawa,2.6715329
4,9.645111999999999,41.834549,Dire Dawa,2.6715329
0,9.503581000000001,42.070496,Dire Dawa,2.6715329
1,9.602402,41.866591,Dire Dawa,2.6715329
2,9.516954,41.809855,Dire Dawa,2.6715329
5,9.596399,41.885931,Dire Dawa,2.6715329
6,9.508095000000001,41.76715,Dire Dawa,2.6715329
1,9.565253,41.97498,Dire Dawa,2.6715329
2,9.516954,41.809855,Dire Dawa,2.6715329
3,9.504422999999999,41.6638,Dire Dawa,2.6715329
0,9.602402,41.866591,Dire Dawa,2.6715329
5,9.700886000000001,42.103126,Dire Dawa,2.6715329
0,9.587377,41.738265,Dire Dawa,2.6715329
4,9.516954,41.809855,Dire Dawa,2.6715329
0,9.565253,41.97498,Dire Dawa,2.6715329
3,9.616778999999999,42.139428,Dire Dawa,2.6715329
6,9.523417999999999,41.904651,Dire Dawa,2.6715329
6,9.616778999999999,42.139428,Dire Dawa,2.6715329
3,9.587377,41.738265,Dire Dawa,2.6715329
4,9.475664999999999,41.95415,Dire Dawa,2.6715329
0,9.587377,41.738265,Dire Dawa,2.6715329
3,9.504422999999999,41.6638,Dire Dawa,2.6715329
2,9.616778999999999,42.139428,Dire Dawa,2.6715329
3,9.504422999999999,41.6638,Dire Dawa,2.6715329
0,9.602402,41.866591,Dire Dawa,2.6715329
0,9.503581000000001,42.070496,Dire Dawa,2.6715329
8,9.616778999999999,42.139428,Dire Dawa,2.6715329
5,9.475664999999999,41.95415,Dire Dawa,2.6715329
2,9.645111999999999,41.834549,Dire Dawa,2.6715329
2,9.508095000000001,41.76715,Dire Dawa,2.6715329
0,9.560840000000001,42.084039,Dire Dawa,2.6715329
4,9.645111999999999,41.834549,Dire Dawa,2.6715329
0,9.602402,41.866591,Dire Dawa,2.6715329
0,9.700886000000001,42.103126,Dire Dawa,2.6715329
2,9.475664999999999,41.95415,Dire Dawa,2.6715329
0,9.560840000000001,42.084039,Dire Dawa,2.6715329
4,9.475664999999999,41.95415,Dire Dawa,2.6715329
0,9.503581000000001,42.070496,Dire Dawa,2.6715329
4,9.504422999999999,41.6638,Dire Dawa,2.6715329
2,9.516954,41.809855,Dire Dawa,2.6715329
2,9.475664999999999,41.95415,Dire Dawa,2.6715329
2,9.700886000000001,42.103126,Dire Dawa,2.6715329
0,9.560840000000001,42.084039,Dire Dawa,2.6715329
6,9.616778999999999,42.139428,Dire Dawa,2.6715329
5,9.645111999999999,41.834549,Dire Dawa,2.6715329
3,9.475664999999999,41.95415,Dire Dawa,2.6715329
